Aapo Lehto
Markus Kessler
Martti Aalto
Mateo Hernandez
Matias Vega
Matteo Ferrari
Matteo Martini
Matteo Ricci
Matthias Brandt
Matthias Lehmann
Maurice Dupont
Maximilian Berger
Michal Nowak
Michal Zajac
Miguel Garcia
Miguel Ruiz
Mikhail Morozov
Mikhail Sokolov
Mikkel Hansen
Miklos Horvath
Milan Kovařík
Mirko Markovic
Miroslav Klose
Máté Kovács
Nedeljko Jovanović
Niklas Nyman
Niko Kovac
Nikola Novak
Nikola Petrovic
Nikolai Sorokin
Nikolaj Hansen
Niles Christiansen
Norbert Weber
Olav Haugen
Ole Kristensen
Oleg Sokolov
Oleksandr Kovalenko
Oleksandr Morozov
Oleksiy Prykhodko
Oliver King
Oliver Schäfer
Oskar Eriksson
Oskar Schmidt
Otto Lehmann
Otto Schmidt
Paolo Moretti
Patrick Leclerc
Patryk Nowak
Paul Miller
Pavel Dvorak
Pavel Horak
Pavlo Melnyk
Pavol Novák
Peter Kralik
Peter Schneider
Peter Svensson
Petr Kovac
Petr Novak
Philippe Leblanc
Pierpaolo Rossi
Pierre Lefebvre
Pietro Blanc
Pol Vilanova
Pál Kovács
Radomir Novak
Radovan Jovanovic
Radovan Novák
Radovan Pavlovic
Rafael Gomez
Reinhard Kruse
Reinhard Schwarz
Reinhardt Krause
René Deschamps
Rico Hofmann
Rico Zimmerman
Robert Hoffman
Robert Kowalczyk
Robin Andersson
Roger Muller
Rolf Kaufmann
Roman Nowak
Ronin van den Heuvel
Ruben Fernandez
Salvatore Ferro
Sergio Romero
Severin Keller
Stanislaw Nowak
Stanislaw Zawadzki
Stavros Papadopoulos
Stefan Eriksson
Stefan Louw
Stefano Romano
Stephan Müller
Stjepan Kralj
Sven Lindberg
Sven Nielsen
Teemu Virtanen
Theodor Schmidt
Thijs de Vries
Thomas Müller
Thorsten Krueger
Tino Hoffman
Tobias Schmidt
Tomas Persson
Tomasz Nowak
Tomás Dvořák
Tomáš Janoušek
Toomas Tamm
Torben Madsen
Uwe Schwarz
Valentin Popescu
Viktor Petrov
Viljo Niemi
Vito Ricci
Vladan Popov
Vladimir Orlov
Vladimir Popov
Vladimir Smirnov
Vladislav Kozlov
Waldemar Novak
Wolfgang Braun
Wolfgang Weber
Wouter de Vries
Yannis Papadopoulos
Yaroslav Sokolov
Yevhenii Korol
Yves Leblanc
Zoran Banovic
Äke Eriksson
Øyvind Bjørnstad
